OrderID|Description|Partcode|Date|Qty|Unit|Value
88325|Nilos ring seal, 32015 AV|Nilos|3/1/2019|14|ft|745.78
25027|Nilos ring with 240 bore, 350 mm seal||1/21/2019|16|Pack|1515.84
55952|no vibration mount by Paulstra, 50 mm diameter||11/18/2018|16|Ea|1274.24
19720|Siemens aux switch block|3RH1911-1FA11|12/15/2018|11|ft|342.43
19724|SIP submersible dirty water pump|6819|12/15/2018|11|ft|342.43
80442|Roebuck specialist rotary pump|Roebuck Red|3/22/2019|1|each|4.48
36199|Grease pump by Hartle||8/8/2018|4|Ea|341.8
93345|Transfer pump, P-925|Hill Pump|9/23/2018|6|ea|181.02
60646|Hi-tech 3 inch dirty water pump with 8mm lift||12/25/2018|11|Ea|949.74
70863|Dewalt diamond drill for concrete and masonry|D21570K-LX|8/31/2018|1|each|31.75
42788|8 piece holesaw set by Diston|| 4/19/2019|13|Ea|362.96
88325|irwin 105 mm holesaw|10504205|3/1/2019|14|ft|745.78
22652|Irwin mandrel tool with 9.5 chuck||1/2/2019|11|Ea|316.58
74606|Metal holesaw, 168mm, Irwin||4/15/2019|2|Ea|6.76
84720|"230v electric fan, 24"""||8/18/2018|15|Ea|1228.65
36195|110 volt electric fan, 30 inches||8/8/2018|4|Ea|341.8
25300|Bahco tool belt|4750-QRLB-1|8/28/2018|7|Ea|675.01
93341|Martor knife holster for your belt, small size,||9/23/2018|6|ea|181.02
60642|toolbelt with multiple pockets by Roebuck company||12/25/2018|11|Ea|949.74
38244|apron for tools, stanley products||10/21/2018|5|Ea|201.65
88325|FAG ball bearing, deep grove 130mm bore diameter, 200 outer, inner ring: 33 mm||3/1/2019|1|Ea|745.78
25027|radial ball bearings, 105 mm bore diameter, 225mm outer diameter, inner ring is 49 mm||1/21/2019|1|Ea|1515.84
55952|Mini bearing by INA, 6mm inner ring, 19mm outer diameter, 7 mm bore|607 2RS |11/18/2018|1|Ea|1274.24
19720|radial ball bearing, bore di 75 mm, inner ring width: 37 mm, outer diameter is 160mm,|SKF|12/15/2018|1|Ea|342.43
19724|radial ball bearings, bore 50, outer 110, inner 27 mm|6310-2RS Timken|12/15/2018|1|Ea|342.43
80442|Cylindrical Needle Bearings, bore di: 45, outer di: 75, width of inner ring is 40mm, width of outer ring is 39 mm|INA|3/22/2019|18|Ea|4.48
36199|Needle roller bearings|SKF NKX 20 Z|8/8/2018|1|Ea|341.8
93345|SKF needle roller bearings|NKX 30 Z|9/23/2018|1|Ea|181.02
60646|blue blow gun by legris, 10 bars||12/25/2018|1|Ea|949.74
70863|Norgren plastic 10-bar blow gun|BG5000|8/31/2018|1|Ea|31.75
42788|air gun|007-P| 4/19/2019|1|Ea|362.96
88325|semi-automatic vertical circle saw||3/1/2019|1|Ea|745.78
