HashID|Product|SKU|Brand|MPN|Attr
08-02-01-14|DEWALT BRAD POINT WOOD DRILLS DT4535 5 PIECE SET|WX103769|DEWALT|DT4535-QZ|'Net Weight': '0.14 KG'
08-02-09-99|ARMEG PTC PREMIUM DIAMOND TILE BLADE 115MM PTCDB115X22.2P|WX102803|ARMEG|PTCDB115X22.2P|
08-02-09-99|BOSCH CHUCK 3 JAW|WXW02555448|BOSCH|2608598122|
08-02-09-99|DEWALT DIAMOND DRILL 1300W 152MM - D21570K 110V|WX103698|DEWALT|D21570K-LX|"'Drilling Capacity (Concrete) mm': '22', 'Drilling Capacity (Masonry) mm': '127', 'External Diameter': '43 MM', 'Free Speed (RPM)': '0-1250/3500', 'Maximum diamond core (mm)': '127', 'Net Weight': '3 KG', 'Power Input': '1300', 'Power Output': '680', 'Spindle Thread Size': '1/2"" x 20 U.N.F', 'Voltage': '110 V'"
08-02-09-99|DEWALT DIAMOND TILE DRILL SET DT6046-QZ|WX103797|DEWALT|DT6046-QZ|'Kit Contents': '5, 6, 7, 8 and 10mm drill bits'
08-02-09-99|DISSTON HOLESAW KIT D9593M 8 PIECE SET|WX30549|DISSTON|D9593M|'Net Weight': '1.099 KG', 'Size': '243 x 163 x 80 mm'
08-02-09-99|DISSTON HOLESAW KIT D9596 13 PIECE SET|WX30551|DISSTON|D9596|'Net Weight': '0.157 KG', 'Size': '242 x 163 x 73 mm'
08-02-09-99|IRWIN 10504205 BI-METAL HOLESAW 105MM|WXW02514469|IRWIN|10504205|'Diameter (mm)': '105'
08-02-09-99|IRWIN 10504534 MANDREL 9.5MM 32-210MM|WXW02514470|IRWIN|10504534|'Hole Size': '32-210mm', 'To suit chuck size': '9.5mm'
08-02-09-99|IRWIN 10505819 BI-METAL HOLESAW 168MM|WXW02059580|IRWIN|10505819|'Diameter (mm)': '168'
08-07-05|ADDISON IMET - SIRIO 315 VERTICAL MANUAL CIRCULAR SAW|WXW03039196|Addison Saws Ltd|SIRIO 315|
08-07-05|ADDISON IMET 2 WAY MITRING GRAVITY FEED BANDSAW BS300 PLUS GH|WXW03910496|IMET|BS300 PLUS GH|
08-07-05|BAILEIGH BS-350M HORIZ BANDSAW MANUAL/CONTROLED DESCENT 270MM 240V|WXW02511132|BAILEIGH INDUSTRIAL|BS-350M|'Blade Size (mm)': '25 x 1 x 3160 mm', 'Blade Speed': '20 - 85 mpm', 'Capacity': 'Square 90° / 45° / 60° / 45°L - 260 mm x 220 mm x 150 mm x 180 mm:  Round 90° / 45° / 60° / 45°L - 270 mm x 240 mm x 160 mm x 210 mm:  Rectangular 90 x 45 x 45L - 350 x 220 x 240 x 160 x 185 x 110 mm', 'Control Options': 'Hydraulic Descent', 'Motor': 'High Torque 1.5Kw (AC)', 'Power': '220V, 50Hz, 1-Phase', 'Shipping Dimensions': '1753 x 762 x 1219 mm', 'Shipping Weight': '410 kg', 'Table Height': '889 mm', 'Type': 'Manual return'
08-07-05|BAILEIGH HORIZ BANDSAW MANUAL/CONTROLED DESCENT 227MM 240V BS-210M|WXW03325322|BAILEIGH INDUSTRIAL|BS-210M|'Blade Size (mm)': '19 x 1 x 2110 mm', 'Blade Speed': '20 - 85 mpm', 'Capacity': 'Square 90° / 45° / 60° - 177 x 177 mm / 110 x 110 mm / 60 x 60 mm:  Round 90° / 45° / 60° - 177 mm x 120 mm x 69 mm:  Rectangle 90° - 210 mm x 170 mm', 'Control Options': 'Hydraulic Descent', 'Motor': 'High Torque .75Kw (AC)', 'Power': '220V, 50Hz, 1-Phase', 'Shipping Dimensions': '1524 x 1118 x 1219 mm', 'Shipping Weight': '202 kg', 'Table Height': '889 mm', 'Type': 'Manual return'
08-07-05|CLARKE BANDSAW MACHINE 6 INCH (D) CBS45MD|WXW01549461|CLARKE POWER PRODUCTS|6460060|
08-07-05|CLARKE BANDSAW MET/CUT 7 INCH CBS7MB|WXW02207695|CLARKE POWER PRODUCTS|6460122|'Blade Speed': '34,41,59,98 M/min', 'Capacity, cutting 45deg': '100mm round, 90x180mm flat mm', 'Capacity, cutting 90deg': '180mm round, 180x300mm flat', 'Length': '1190 MM', 'Net Weight': '143 KG', 'Rectangular section capacity 90 degree': '1Hp', 'Size': '1190x989x406 mm', 'Total Height': '406 MM', 'Width External': '989 MM'
08-07-05|DRAPER MBS46A BANDSAW 30736|WX30796|DRAPER TOOLS|30736|
08-07-05|EXCEL 1-625-200V PBS 250V HEAVY DUTY BANDSAW|WXW01941297|Excel Machine Tools|1-625-200V|
08-07-05|EXCEL 1-631-100 KV40 HEAVY DUTY VERTICAL BANDSAW|WXW03458144|Excel Machine Tools|1-631-100|
08-07-05|IMET GBS242 AUTOCUT BANDAW 2WAY MITRE WITH 3WAY GRAVITY FEED 440V 3PH|WXW03830896|IMET|GBS242|'Blade Speed': '35/70 meters/minute', 'Dimensions': 'W1500 x L1250 x H1700 mm (including head)', 'Motor Power': '1.3/1.3 kW', 'Number of Speeds': '2', 'Power Supply': '3phase', 'Saw Blade Dimensions': 'H27 x S0.9 x L2965 mm', 'Weight': '290 kg'
08-07-05|IMET GRAVITY FEED MITRING BANDSAW GH AUTOCUT GBS218GH|WXW03910497|IMET|GBS218GH|
08-07-05|IMET SIRIO 315 SH-SEMI AUTOMATIC VERTICAL CIRCULAR SAW|WXW03910495|IMET|SIRIO 315 SH|
