HashID|Product|SKU|Brand|MPN|Attr
01-01-01|FAG DEEP GROOVE BALL BEARING 6026-2RSRC3|WXW03482867|FAG|6026-2RSR-C3|'Bearing Internal Clearance': 'C3', 'Bore Diameter (d;dw;Di)': '130 MM', 'Net Weight': '3.16 KG', 'Outer Diameter (D;Dg;Do)': '200 MM', 'Type Series (Level 1)': '6000', 'Type Series (Level 2)': '6026', 'Width Inner Ring (B)': '33 MM'
01-01-01|FAG RADIAL BALL BEARING 6321-C3|WXW03519498|FAG|6321-C3|'Bearing Internal Clearance': 'C3', 'Bore Diameter (d;dw;Di)': '105 MM', 'Net Weight': '8.05 KG', 'Outer Diameter (D;Dg;Do)': '225 MM', 'Type Series (Level 1)': '6300', 'Type Series (Level 2)': '6321', 'Width Inner Ring (B)': '49 MM'
01-01-01|INA MINIATURE BEARING 607-2RS|WXW01632589|INA|607 2RS (C)|'Bearing Internal Clearance': 'CN', 'Bore Diameter (d;dw;Di)': '7 MM', 'Outer Diameter (D;Dg;Do)': '19 MM', 'Type Series (Level 1)': '600', 'Type Series (Level 2)': '607', 'Width Inner Ring (B)': '6 MM'
01-01-01|INA MINIATURE BEARING 607-2Z|WXW01632591|INA|607 2Z|'Bearing Internal Clearance': 'CN', 'Bore Diameter (d;dw;Di)': '7 MM', 'Net Weight': '8 GRM', 'Outer Diameter (D;Dg;Do)': '19 MM', 'Type Series (Level 1)': '600', 'Type Series (Level 2)': '607', 'Width Inner Ring (B)': '6 MM'
01-01-01|INA MINIATURE BEARING 608|WXW01632602|INA|608|'Bearing Internal Clearance': 'CN', 'Bore Diameter (d;dw;Di)': '8 MM', 'Net Weight': '0.012 KG', 'Outer Diameter (D;Dg;Do)': '22 MM', 'Type Series (Level 1)': '600', 'Type Series (Level 2)': '608', 'Width Inner Ring (B)': '7 MM'
01-01-01|INA MINIATURE BEARING 608-2Z|WXW01632600|INA|608 2Z (Y)|'Bearing Internal Clearance': 'CN', 'Bore Diameter (d;dw;Di)': '8 MM', 'Outer Diameter (D;Dg;Do)': '22 MM', 'Type Series (Level 1)': '600', 'Type Series (Level 2)': '608', 'Width Inner Ring (B)': '7 MM'
01-01-01|INA MINIATURE BEARING 608-2ZVA|WXW01632601|INA|S608-2Z-HLC|'Bearing Internal Clearance': 'CN', 'Bore Diameter (d;dw;Di)': '8 MM', 'Outer Diameter (D;Dg;Do)': '22 MM', 'Type Series (Level 1)': 'S600', 'Type Series (Level 2)': 'S608', 'Width Inner Ring (B)': '7 MM'
01-01-01|INA MINIATURE BEARING 609-2RS|WXW01632605|INA|609-2RSR-HLC|'Bearing Internal Clearance': 'CN', 'Bore Diameter (d;dw;Di)': '9 MM', 'Outer Diameter (D;Dg;Do)': '24 MM', 'Type Series (Level 1)': '600', 'Type Series (Level 2)': '609', 'Width Inner Ring (B)': '7 MM'
01-01-01|INA MINIATURE BEARING 609-2Z|WXW01632607|INA|609 2Z (C)|'Bearing Internal Clearance': 'CN', 'Bore Diameter (d;dw;Di)': '9 MM', 'Outer Diameter (D;Dg;Do)': '24 MM', 'Type Series (Level 1)': '600', 'Type Series (Level 2)': '609', 'Width Inner Ring (B)': '7 MM'
01-01-01|INA MINIATURE BEARING 623-2Z|WXW01632613|INA|623-2Z-HLW|'Bearing Internal Clearance': 'CN', 'Bore Diameter (d;dw;Di)': '3 MM', 'Outer Diameter (D;Dg;Do)': '10 MM', 'Type Series (Level 1)': '620', 'Type Series (Level 2)': '623', 'Width Inner Ring (B)': '4 MM'
