UniqueID,Description
1:wgavjmjx5jzcpujfysi4k5mu56100, BEARINGS SNR US206G2  Rollon/ Automotion Components L1918.CPN18-2Z
10:yso5tuvitryrzu2rf2fkdzi587400,C210 INOX 2RS bearing stainless steel   NA NA
100:0ND0-4ASCNT,SPHERICAL ROLLER BEARING 21314 E COATING CELL RHC COATING CELL
1000:fgwukjoipqvujse0xfhybd5h6200,Filling box wheel bearing  SKE Solutions DKK5.00066
1001:fgwukjoipqvujse0xfhybd5h6200,Pallet circulation roller bearing NP60 RHP NP60 EC
1002:fgwukjoipqvujse0xfhybd5h6200,Pallet stop arm bearing  Rexworth MNR R162472220
1003:y1mowwdcd1wwng3pajoxjbff68700,TIMKEN BEARING (WHEEL) Q2019-058 Sheen Spark Q2019-058
1004:fi2r11ncqz3ldgo2gfryducd67104,FYTWK30YTH-*SKF cancelled po do not use this line cancelled po do not use this line cancelled po do not use this line
1005:0M80-8KDJ93,7216 bep Bearing   N/A N/A
1006:0M80-8KDJ9F,SKF TIH220M/MV large bearing induction heater  LJ1.1/8-2ZJ RHP LJ1.1/8.ZZ
1007:n2ljiyiiehtoenshccwvkgfv94600,Bearing. 6306-*SKF Bearing N/A N/A
1008:onrknuyvbboojei3uy0hxpcl70600,Pilow box bearing  N/A packaging automation B00113
1009:ldmfxwja4xawttd3c0r3wxaq3500,Thrust bearing LT1 1/2 UCF212-FSB FSB UCF212-FSB
101:0ND0-4ASCNT,SPHERICAL ROLLER BEARING 22210 E X-ray repair RHC X-ray repair
1010:tmeutzgte1cyqb0nq4oa5zpp59600,seal oil lip 25mm ID 52mm OD 7mm thick Winkel W-4.056 linear bearings Winkel W-A.056
1011:vofzticpb1f3tdhe2watgtrn30005,FLANGED BEARING bearing  multivac  78723025303
1012:vofzticpb1f3tdhe2watgtrn30005,FLANGED BEARING bearing  multivac  na 
1013:0QC0-57780,"BEARING,CAM FOLLOWER ZZ-CON024 GEA 6000405"
1014:0M80-BHB2TJ,Pillow Block 6982-RL210219 BRINKMANN 6982-RL210219
1015:0ND0-3A35WG,SKF Bearings 63004-2RS1  N/A N/A
1016:arfxwan5up2bf15twwiwgnjj45300,2 off bearings as per attached quote 65X90X10HMSA10V SKF 65x90x10mm TC/R23
1017:rcusaz4nempcoffdatlg4hmy16300,bearings HK35162RS NA NA
1018:0JU0-57908,QTE0208176-SN28-130-120-290 TIMKEN ROLLON BEARING 6001-2RSH-*SKF skf 6001 2rs
1019:v0bmare4tjm0vmetjpugryd369600,P207 Plumb / Pillow block bearing SNP20  RHP SNP20
102:0ND0-4ASCNT,SPHERICAL ROLLER BEARING 22216 EK FASTEMS RHC FASTEMS
1020:0M80-EFJKXZ,Split Roller Bearing MBO03016 interfood MBO03016
1021:0M80-EFJKXZ,Split Roller Bearing carriage  interfoods  na 
1022:0M80-EFJKXZ,Bearing Cartridge RD-17Y4JABNCD RL: 838;AGL: 892  Interoll N/A
1023:0M80-EFJKXZ,Bearing Cartridge  Ishida 3727-05 (180-2521)
1024:0M80-EFJKXZ,Split Roller Bearing XSP00000739 NA NA
1025:0M80-EFJKXZ,Split Roller Bearing  Taxi NA NA
1026:54kfeoc5lb4akfl42sfxbgo221100,DC Tool linear bearing rail z253070804 Bearing Factors z253070804
1027:amnl33uhb11dwp5nieruopn083600,2 off bearings as per quote 50X72X8HMSA10V SKF 50x72x8mm TC / R23 
1028:3htz1bpj5bjajrajjebxus1p20100,16FC30DEC-*RHP N/A Burtech Precision J17917
1029:l3akqfin1xsfabxkk3vcdr3f62400,Linear bearing z2530070803 Bearing Factors z2530070803
103:bjh1n41gaz23uhdqi5i02yfq500,Bearing Bush  16004-SKF 160042Z 160042Z
1030:0M80-HH5LJ3,SKF induction bearing heater 063.006.281 REISER 063.006.281
1031:tj2urudrzj2mrjnn3h1jt1hb10402,Radial Pneumatic Shaft Seal CRDSNU-40 WSM-1214-12 WSM-1214-12 WSM-1214-12
1032:0M80-HH5LNO,29488EM:SKF CARRIAGE  CARRIAGE
1033:0M80-HH5LNO,23080CC/W33:SKF SERVICE DOR DOR job number 181519
1034:txhdygw2bpr2feqwo5onq0hz96000,INA BEARING 1671-294-10 Bosch Rexroth 1671-294-10
1035:w5z3mfdboox4d5ddv2slqdtd84400,HK2512 needle bearing 70MMX1000PB1 BRONZE BRAMMER TMPQ-BEARING-BEAR
1036:0ND0-8IYR9,"Bearing Housing, INA, 01ME05 65620117300 BIZERBA 65620117300"
1037:0EY0-58167,SKF bearings 22211 EK/C3 W33 LPB2CAS-NEUTRAL NEUTRAL LPB2CAS-NEUTRAL
1038:ch213rlgoljpe34fczdwokeu51300,Bearing NP 70 UCF206-FS Bearing N/A N/A
1039:ch213rlgoljpe34fczdwokeu51300,Bearing GE 50  N/A N/A
104:bjh1n41gaz23uhdqi5i02yfq500,Bearing Bush 16004-ZZ 16004ZZ 16004ZZ
1040:0x54veva3cbr4gmgsz3wy5hh23300,6208 BEARING  SFM 0410200
1041:ch213rlgoljpe34fczdwokeu51300,Bearing SC25  N/A N/A
1042:vor0qurmmlgz4j3os2za1lwq3700,Bearing NP 70  N/A N/A
1043:vor0qurmmlgz4j3os2za1lwq3700,Bearing GE 50 65483002701 bizerba 65483002701
1044:a0apeb2a0gdmayrkexlibbrq87900,REPAIR- L6 DRUM MOTOR ST/ST KN 500LG WSM-1416-15 WSM-1416-15 WSM-1416-15
1045:bzy43clkc5thd0pp0j5tim0f74200,UCS204-012LD1NR ; INSERT BEARING MOUNTED UNIT BCB-0116 CROSS ROLLER BEARING MATSUURA QLC1903-01
1046:ibeygz5skfc5jha3vjaktrh570300,Bearing 2525265 Accraply 2525265
1047:ibeygz5skfc5jha3vjaktrh570300,Bearing CML10 FK bearings  CML10
1048:npqax5555hertvc4yxvm1lia67400,13mm 1960 IWRC 1-LEG WRS E30TAB06DB0 YAMAZAKI  E30TAB06DB0
1049:npqax5555hertvc4yxvm1lia67400,40mm 1960 IWRC 1-LEG WRS ZE3873FCM161 ZE3873FCM161 ZE3873FCM161
105:wmxw04hidaq00eyer5ao2cs318200,bearing inserts 6638Y BAB001 BABCOCK WANSON (UK) LTD 6638Y
1050:acdourwe0zinewotfs2l50bq37200,ER-24K  Bearings EDM1F-MQ GLENFARROW EDM1F-MQ
1051:iu2elbn00ktticqsillweswv90500,N308 STEEL CAGE ROLLER BEARING gir15-do ina GIR15-do
1052:iu2elbn00ktticqsillweswv90500,NATR50 ROLLER BEARING  MSM-1218-15 Igus MSM-1218-15
1053:iu2elbn00ktticqsillweswv90500,6308 METRIC BALL BEARING  HK2520 INA HK 2520
1054:iu2elbn00ktticqsillweswv90500,30210 TAPER BEARING 5596294-00 HAYLEY 5596294-00
1055:gcwa5uaysgkb3j1uwpqhojsp93200,50 x 399mm troughing rollers  SKF-TIH220M/MV  SKF TIH220M/MV  SKF TIH220M/MV 
1056:kppwczwkfaf4d0jrvpppzjam88700,Bearings HK35162RS NA NA
1057:1gajyqxve15t5teu4kofvhgu9100,repair of motor ref 7352/19 ronnie roux 6205-2Z/C3 SKF 6205 zz c4
1058:0EY0-58312,bearings 4074116 NA NA
1059:0EY0-58312,BEARING HOUSING TBA NA NA
106:i4wakdnhyqond0341gfrr0bp74500,Line 1 roller MB/11200 6203-2RSH-SKF SKF 6203-2RSH-SKF
1060:5lek4n1guc4zptctmugglwle24042019071658000,6404.c3 bearing  NSK 6020 DDU
1061:5lek4n1guc4zptctmugglwle24042019071658000,6404.c3 02B90MMGR TBA TBA
1062:gsvvxf5ha3hh3gd3xcl2lsle59000,SKF Schindler chain lift bearing LRJ-1.1/4/RHP RHP LRJ1.1/4J
1063:urscmivvdwurxf0exziy0eks22802,REISER OUTBOARD FLANGED BEARING  N/A N/A
1064:hq4v3n2fiza35sr1jr1gehjl53800,Painting of the structure; including labour and ma 01EB304EX SKF Cooper 01EB304EX-Cooper
1065:hq4v3n2fiza35sr1jr1gehjl53800,All parts required for coil conveyor refurb  SKF TIH 220m
1066:urscmivvdwurxf0exziy0eks22802,REISER INBOARD FLANGED BEARING N/A N/A N/A
