Product ID,Product,Supplier,MfrPartNo,Attributes,Description, Cost 
104A2102,Plummer Block Housing,SKF,SE511-609K7,Bolt Hole Centre Distances 2100 MM | Height Centre 700 MM | Net Weight 95.46 KG,Easy installation | Reinforced design | High load carrying capacity | Relubrication facility as standard | Condition monitoring options | Wide range of sealing solutions | K7 special fit for fan applications, £81.50 
45026245,Plummer Block Housing,SKF,SE509,Bolt Hole Centre Distances 210 MM | Height Centre 70 MM | Net Weight 5.46 KG,Easy installation | Reinforced design | High load carrying capacity | Relubrication facility as standard | Condition monitoring options | Wide range of sealing solutions | K7 special fit for fan applications, £75.33 
104A2394,Plummer Block Housing,SKF,SE510-608,Bolt Hole Centre Distances 150 MM | Height Centre 60 MM | Net Weight 2.53 KG,Easy installation | Reinforced design | High load carrying capacity | Relubrication facility as standard | Condition monitoring options | Wide range of sealing solutions | K7 special fit for fan applications, £35.52 
104A2103,Plummer Block Housing,SKF,SE 511-609,Bolt Hole Centre Distances 130 MM | Height Centre 50 MM | Net Weight 2.23 KG,Easy installation | Reinforced design | High load carrying capacity | Relubrication facility as standard | Condition monitoring options | Wide range of sealing solutions | K7 special fit for fan applications, £81.51 
2516531,Plummer Block Housing,SKF,SE513-611:SKF,Bolt Hole Centre Distances 120 MM | Height Centre 40 MM | Net Weight 2.03 KG,Easy installation | Reinforced design | High load carrying capacity | Relubrication facility as standard | Condition monitoring options | Wide range of sealing solutions | K7 special fit for fan applications, £22.50 
100A7224,Needle Roller Bearing,SKF,NKX 15 Z,Bolt Hole Centre Distances 110 MM | Height Centre 30 MM | Net Weight 1.83 KG,, £89.37 
100A7230,Needle Roller Bearing,SKF,NKX 30 Z,Bore Diameter (d;dw;Di) 15 MM | Enveloping Circle Diameter (Fw) 15 MM | Net Weight0.047 KG | Outer Diameter (D;Dg;Do) 24 MM | Type Series (Level 1) NAX/NAXK/NKX | Width Outer Ring (C) 23 MM,, £90.03 
101A0081,Needle Roller Bearing,INA,NKX 40 Z,Bore Diameter (d;dw;Di) 30 MM | Enveloping Circle Diameter (Fw) 30 MM | Net Weight0.148 KG | Outer Diameter (D;Dg;Do) 42 MM | Type Series (Level 1) NAX/NAXK/NKX | Width Outer Ring (C) 30 MM,, £21.36 
100A7224,Needle Roller Bearing,INA,NKX 50 Z,Bore Diameter (d;dw;Di) 40 MM | Enveloping Circle Diameter (Fw) 40 MM | Net Weight0.128 KG | Outer Diameter (D;Dg;Do) 12 MM | Type Series (Level 1) NAX/NAXK/NKX | Width Outer Ring (C) 20 MM,, £95.69 
80213029,Radial Spherical Bearings,SKF,SKF GE 10C,Bore Diameter (d;dw;Di) 50 MM | Enveloping Circle Diameter (Fw) 50 MM | Net Weight0.1278 KG | Outer Diameter (D;Dg;Do) 52 MM | Type Series (Level 1) NAX/NAXK/NKX | Width Outer Ring (C) 50 MM,, £41.49 
